,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,7.53923442390472,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,7.57169749274654,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.67654773372157,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,7.86947018999245,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,8.40741154700022,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.97430164130982,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.45910636823544,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.24484282680541,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,7.21491501896869,Aggregates,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,7.07442880999326,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,3.19055229252225,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.17242064214562,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,3.20080093275134,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,3.59335356570127,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.66663403105227,Aggregates,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.79531801163781,Aggregates,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.39076373818366,Aggregates,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.33437713943307,Aggregates,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,4.28399591922403,Aggregates,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,4.16758013639496,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,9.22073083160848,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,9.26592419265216,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,9.31338863204988,Aggregates,Aggregates,Aggregates,,
23,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,9.74413095599936,Aggregates,Aggregates,Aggregates,,
24,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,10.8627489086684,Aggregates,Aggregates,Aggregates,,
25,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.2951503646669,Aggregates,Aggregates,Aggregates,,
26,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.2137182910936,Aggregates,Aggregates,Aggregates,,
27,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10.6546406452031,Aggregates,Aggregates,Aggregates,,
28,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,11.1152019032057,Aggregates,Aggregates,Aggregates,,
29,1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,10.8617161429412,Aggregates,Aggregates,Aggregates,,
30,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,7.55114639676154,Aggregates,Aggregates,Aggregates,,
31,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,7.49180699898505,Aggregates,Aggregates,Aggregates,,
32,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.51281290895946,Aggregates,Aggregates,Aggregates,,
33,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,8.29867755889038,Aggregates,Aggregates,Aggregates,,
34,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,9.71327125079923,Aggregates,Aggregates,Aggregates,,
35,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.95181592662355,Aggregates,Aggregates,Aggregates,,
36,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.21142514691839,Aggregates,Aggregates,Aggregates,,
37,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.59708625490841,Aggregates,Aggregates,Aggregates,,
38,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,8.24674002522057,Aggregates,Aggregates,Aggregates,,
39,S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,8.52897625860849,Aggregates,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,4.14452082089943,Aggregates,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,4.00056350955849,Aggregates,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,4.01230416616797,Aggregates,Aggregates,Aggregates,,
43,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,3.96540582731722,Aggregates,Aggregates,Aggregates,,
44,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.44508031221282,Aggregates,Aggregates,Aggregates,,
45,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.3496421220328,Aggregates,Aggregates,Aggregates,,
46,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.76072643211224,Aggregates,Aggregates,Aggregates,,
47,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.29483445753775,Aggregates,Aggregates,Aggregates,,
48,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,5.2771900084377,Aggregates,Aggregates,Aggregates,,
49,B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,6.47626986745334,Aggregates,Aggregates,Aggregates,,
50,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,5.15274599833717,Aggregates,Aggregates,Aggregates,,
51,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,5.14376176238682,Aggregates,Aggregates,Aggregates,,
52,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,5.11313521249178,Aggregates,Aggregates,Aggregates,,
53,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,5.64296814018676,Aggregates,Aggregates,Aggregates,,
54,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,6.74359581980053,Aggregates,Aggregates,Aggregates,,
55,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.36417086549936,Aggregates,Aggregates,Aggregates,,
56,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.30970549335686,Aggregates,Aggregates,Aggregates,,
57,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.77526130131479,Aggregates,Aggregates,Aggregates,,
58,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,6.71806478492721,Aggregates,Aggregates,Aggregates,,
59,V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,6.7341480328496,Aggregates,Aggregates,Aggregates,,
60,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,3.80585541446833,Aggregates,Aggregates,Aggregates,,
61,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.80594017324633,Aggregates,Aggregates,Aggregates,,
62,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,3.86187012642211,Aggregates,Aggregates,Aggregates,,
63,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,4.10032254258298,Aggregates,Aggregates,Aggregates,,
64,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.06219092494547,Aggregates,Aggregates,Aggregates,,
65,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.29658340250273,Aggregates,Aggregates,Aggregates,,
66,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.82442011949597,Aggregates,Aggregates,Aggregates,,
67,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.75442452697159,Aggregates,Aggregates,Aggregates,,
68,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,3.87456480348735,Aggregates,Aggregates,Aggregates,,
69,Z4,East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,4.00393781457677,Aggregates,Aggregates,Aggregates,,
70,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,3.9178376117136,Aggregates,Aggregates,Aggregates,,
71,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.91370991631764,Aggregates,Aggregates,Aggregates,,
72,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,3.97712381690091,Aggregates,Aggregates,Aggregates,,
73,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,4.23491194246921,Aggregates,Aggregates,Aggregates,,
74,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.13328662810016,Aggregates,Aggregates,Aggregates,,
75,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.36943697408605,Aggregates,Aggregates,Aggregates,,
76,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.90432643103478,Aggregates,Aggregates,Aggregates,,
77,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.81235265554938,Aggregates,Aggregates,Aggregates,,
78,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,3.9216662036523,Aggregates,Aggregates,Aggregates,,
79,4E,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,4.04312471702124,Aggregates,Aggregates,Aggregates,,
80,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,3.92368997709517,Aggregates,Aggregates,Aggregates,,
81,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.91959262359653,Aggregates,Aggregates,Aggregates,,
82,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,3.98514803684521,Aggregates,Aggregates,Aggregates,,
83,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,4.24711639501186,Aggregates,Aggregates,Aggregates,,
84,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.14006542894987,Aggregates,Aggregates,Aggregates,,
85,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.38103635885362,Aggregates,Aggregates,Aggregates,,
86,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.91155753249547,Aggregates,Aggregates,Aggregates,,
87,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.81860609641702,Aggregates,Aggregates,Aggregates,,
88,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,3.92821339454137,Aggregates,Aggregates,Aggregates,,
89,T4,East Asia & Pacific (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,4.0503221911626,Aggregates,Aggregates,Aggregates,,
90,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,6.33138964349225,Aggregates,Aggregates,Aggregates,,
91,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,6.38633268588582,Aggregates,Aggregates,Aggregates,,
92,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,6.56284141881272,Aggregates,Aggregates,Aggregates,,
93,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,6.77735729230381,Aggregates,Aggregates,Aggregates,,
94,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,7.74091996942336,Aggregates,Aggregates,Aggregates,,
95,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.83444210222942,Aggregates,Aggregates,Aggregates,,
96,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.50763908569826,Aggregates,Aggregates,Aggregates,,
97,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.145745207482,Aggregates,Aggregates,Aggregates,,
98,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,9.06848085645283,Aggregates,Aggregates,Aggregates,,
99,XC,Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,10.0320372944587,Aggregates,Aggregates,Aggregates,,
100,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,5.35763709810189,Aggregates,Aggregates,Aggregates,,
101,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,5.37193076650132,Aggregates,Aggregates,Aggregates,,
102,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,5.5524628481626,Aggregates,Aggregates,Aggregates,,
103,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,5.8461378752333,Aggregates,Aggregates,Aggregates,,
104,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,6.90008993267541,Aggregates,Aggregates,Aggregates,,
105,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.09506699474453,Aggregates,Aggregates,Aggregates,,
106,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.62368420554511,Aggregates,Aggregates,Aggregates,,
107,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.87753387966177,Aggregates,Aggregates,Aggregates,,
108,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,7.48553527599582,Aggregates,Aggregates,Aggregates,,
109,Z7,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,8.07810584353711,Aggregates,Aggregates,Aggregates,,
110,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,6.83346297049418,Aggregates,Aggregates,Aggregates,,
111,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,6.90392605245375,Aggregates,Aggregates,Aggregates,,
112,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.17966785115489,Aggregates,Aggregates,Aggregates,,
113,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,7.71538545377934,Aggregates,Aggregates,Aggregates,,
114,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,8.95407922243149,Aggregates,Aggregates,Aggregates,,
115,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.26814225066228,Aggregates,Aggregates,Aggregates,,
116,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.11807057814077,Aggregates,Aggregates,Aggregates,,
117,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.61159005290134,Aggregates,Aggregates,Aggregates,,
118,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,8.94336027365094,Aggregates,Aggregates,Aggregates,,
119,7E,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,9.03756351375215,Aggregates,Aggregates,Aggregates,,
120,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,4.61967413491655,Aggregates,Aggregates,Aggregates,,
121,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,4.71442788634565,Aggregates,Aggregates,Aggregates,,
122,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,5.07700038173614,Aggregates,Aggregates,Aggregates,,
123,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,5.62584537984402,Aggregates,Aggregates,Aggregates,,
124,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,6.78803635122713,Aggregates,Aggregates,Aggregates,,
125,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.20291679357834,Aggregates,Aggregates,Aggregates,,
126,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.70220366105967,Aggregates,Aggregates,Aggregates,,
127,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.64992815855912,Aggregates,Aggregates,Aggregates,,
128,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,7.09014958895511,Aggregates,Aggregates,Aggregates,,
129,T7,Europe & Central Asia (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,7.43861188713932,Aggregates,Aggregates,Aggregates,,
130,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,5.92651809121259,Aggregates,Aggregates,Aggregates,,
131,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,5.92300803762815,Aggregates,Aggregates,Aggregates,,
132,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,6.02643653344515,Aggregates,Aggregates,Aggregates,,
133,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,6.16136079316676,Aggregates,Aggregates,Aggregates,,
134,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,7.0265794645481,Aggregates,Aggregates,Aggregates,,
135,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.05471356704802,Aggregates,Aggregates,Aggregates,,
136,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.67705052747452,Aggregates,Aggregates,Aggregates,,
137,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.24425466386935,Aggregates,Aggregates,Aggregates,,
138,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,8.13208945121752,Aggregates,Aggregates,Aggregates,,
139,EU,European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,9.1056944627421,Aggregates,Aggregates,Aggregates,,
140,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,5.12087353705196,Aggregates,Aggregates,Aggregates,,
141,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,5.10292528264286,Aggregates,Aggregates,Aggregates,,
142,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,5.25788625090276,Aggregates,Aggregates,Aggregates,,
143,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,5.66963973502859,Aggregates,Aggregates,Aggregates,,
144,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,6.78144462467384,Aggregates,Aggregates,Aggregates,,
145,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.65657957461586,Aggregates,Aggregates,Aggregates,,
146,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.90080932795554,Aggregates,Aggregates,Aggregates,,
147,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.85152506730988,Aggregates,Aggregates,Aggregates,,
148,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,5.84698350124452,Aggregates,Aggregates,Aggregates,,
149,F1,Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,5.62699513440415,Aggregates,Aggregates,Aggregates,,
150,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,4.14029129900976,Aggregates,Aggregates,Aggregates,,
151,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,4.14848963835004,Aggregates,Aggregates,Aggregates,,
152,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,4.19619473713708,Aggregates,Aggregates,Aggregates,,
153,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,4.43078249558701,Aggregates,Aggregates,Aggregates,,
154,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.93435685063582,Aggregates,Aggregates,Aggregates,,
155,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.01828149435176,Aggregates,Aggregates,Aggregates,,
156,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.32712993411352,Aggregates,Aggregates,Aggregates,,
157,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.33305716551729,Aggregates,Aggregates,Aggregates,,
158,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,4.3687433547996,Aggregates,Aggregates,Aggregates,,
159,XE,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,4.36081253702186,Aggregates,Aggregates,Aggregates,,
160,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,4.40732868510062,Aggregates,Aggregates,Aggregates,,
161,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,4.36921338587796,Aggregates,Aggregates,Aggregates,,
162,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,4.33658988894219,Aggregates,Aggregates,Aggregates,,
163,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,4.50967085383543,Aggregates,Aggregates,Aggregates,,
164,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,5.56340455384108,Aggregates,Aggregates,Aggregates,,
165,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.46029410330786,Aggregates,Aggregates,Aggregates,,
166,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.76095722276823,Aggregates,Aggregates,Aggregates,,
167,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.08035509323271,Aggregates,Aggregates,Aggregates,,
168,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,5.57808496057952,Aggregates,Aggregates,Aggregates,,
169,XD,High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,6.11023077846658,Aggregates,Aggregates,Aggregates,,
170,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,4.97734579110731,Aggregates,Aggregates,Aggregates,,
171,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,5.02151629934745,Aggregates,Aggregates,Aggregates,,
172,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,5.11483942298028,Aggregates,Aggregates,Aggregates,,
173,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,5.56994264084484,Aggregates,Aggregates,Aggregates,,
174,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,6.31312953704222,Aggregates,Aggregates,Aggregates,,
175,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.95128407575739,Aggregates,Aggregates,Aggregates,,
176,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.06655916125813,Aggregates,Aggregates,Aggregates,,
177,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.28190637378299,Aggregates,Aggregates,Aggregates,,
178,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,6.39131744182122,Aggregates,Aggregates,Aggregates,,
179,XF,IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,6.41617806380602,Aggregates,Aggregates,Aggregates,,
180,ZT,IDA & IBRD total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2025,4.84304079329494,Aggregates,Aggregates,Aggregates,,
181,ZT,IDA & IBRD total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,4.87442555532322,Aggregates,Aggregates,Aggregates,,
182,ZT,IDA & IBRD total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,4.95186990095765,Aggregates,Aggregates,Aggregates,,
183,ZT,IDA & IBRD total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,5.38641759178597,Aggregates,Aggregates,Aggregates,,
184,ZT,IDA & IBRD total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,6.1438114050949,Aggregates,Aggregates,Aggregates,,
